Title,Price,Link,Description,Main image
Cake plates,35,https://kariceramics.com//collections/handmade-ceramic-plates/products/ceramic-cake-plates,"Indulge in the ultimate high tea experience with our exquisite ceramic cake plates. Elevate your celebration to new heights with its organic design and vibrant colours.. This versatile plate also doubles as a ceramic bread plate or side plate. Its size and shape make it ideal for serving small bites or appetizers alongside your main course, adding an extra layer of elegance to your table setting. Imbued with a timeless charm, these handmade plates are perfect for your next gathering, impressing your guests with its beauty and functionality. Crafted with love, made to last. Available in nine wonderful glaze colours. Measures 20 cm/ 7.9"" in diameter Dishwasher and microwave safe. Heating in the oven is possible with a maximum of 120°C/ 248°F.For more formal settings this size is also known as quarter plate, bread and butter plate or luncheon plate. Since each piece is made individually by hand, tiny imperfections might occur, as well as slight variations in colour, shape and size.",//kariceramics.com/cdn/shop/files/CakeplateWhiteHandmadepottery_500x.jpg?v=1682679910
Lunch plates,45,https://kariceramics.com//collections/handmade-ceramic-plates/products/handmade-ceramic-organic-lunch-plates,"Size: ca 9""/23cm in diameterWith this breakfast plate or lunch plate you have something truly unique in your kitchen. A touch of nature and elevating dining moments are brought to your home. All ceramic dinnerware is dishwasher- and microwave safe. For oven heating at a maximum of 120°C/ 248°F is recommended. Please note the Waterfall and Forest Green plates show large variations in their appearance, as demonstrated on the pictures. ♥ Since each plate is made individually by hand, tiny imperfections might occur, as well as slight variations in colour, shape and size. However, we always put the most resembling pieces in one order. All our pottery is durable high quality dinnerware, and reflects the beauty of handmade.",//kariceramics.com/cdn/shop/products/LunchplateForestGreenKariCeramics_500x.jpg?v=1682680592
Dinner plates,58,https://kariceramics.com//collections/handmade-ceramic-plates/products/handmade-ceramic-dinner-plates,"Size: 11.8""/30cm diameter. A very special handmade ceramic dinner plate that brings out the best of any food served on it.Its organic look is a joy to the eye, invites you to touch, and creates a feast out of any meal; no matter every-day or a special event. The elegant large size creates a wonderful playground for any (home-) chef.In the dishwasher? Yes it can. Heating in the oven is possible with a maximum of 120°C/ 248°F. Since each piece is made individually by hand, tiny imperfections might occur, as well as slight variations in colour, shape and size.",//kariceramics.com/cdn/shop/files/DinnerplateBlackHandmadepottery_500x.jpg?v=1682680177
Serving platter,89,https://kariceramics.com//collections/handmade-ceramic-plates/products/ceramic-serving-platter,"Size ca 29cm x 23cm x 3cm11.4"" x 9"" x 1.3""This ceramic serving platter is a lovely centrepiece. Whether it is for fruit, scones, a dessert to share, sushi or for hot food; it is a great multifunctional piece.The rustic yet organic exterior makes a fascinating contrast to the glazed interior. A beautiful gift for a housewarming, birthday, wedding or to yourself. If you are already the owner of my unique dinnerware sets, then this is probably the missing piece in your collection. All pieces are dishwasher- and microwave safe. For oven heating at a maximum of 120°C/ 248°F is recommended. ♥ Since each piece is made individually by hand, tiny imperfections might occur, as well as slight variations in colour, shape and size. We always strive to put the most resembling pieces in one order. All our pottery is durable high quality dinnerware, and reflects the beauty of handmade.",//kariceramics.com/cdn/shop/products/Kari_ceramics_handmade_pottery_blue_hand_oval_serving_bowl_500x.jpg?v=1589553040
