Title,Price,Link,Description,Main image
Rainbow Decorative Candle,28,https://charlybodycare.com/collections/soy-candles/products/sculpted-rainbow-soy-candle,"Our elegant Rainbow Decorative Candle brings warmth and character to any room.This exquisite hand-made piece, available either unscented or in any of our best-selling candle scents",//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200
Classic Bubble Decorative Candle,18,https://charlybodycare.com/collections/soy-candles/products/cube-decorative-candle,Our elegant Classic Bubble Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200
Mega Bubble Decorative Candle,42,https://charlybodycare.com/collections/soy-candles/products/large-bubble-decorative-candle,Our elegant Mega Bubble Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200
Orb Set Decorative Candles,34,https://charlybodycare.com/collections/soy-candles/products/large-sphere-decorative-candle,Our elegant Orb Set Decorative Candles will bring warmth and character to your home or workspace. These candles are available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200
Twirl Decorative Candle,38,https://charlybodycare.com/collections/soy-candles/products/sphere-decorative-candle,Our elegant Twirl Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200
Tall Arch Decorative Candle,24,https://charlybodycare.com/collections/soy-candles/products/archway-decorative-candle,Our elegant Tall Arch Decorative Candle will bring warmth and character to your home or workspace. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200
Twisted Taper Decorative Candle,9,https://charlybodycare.com/collections/soy-candles/products/taper-decorative-candle,Our elegant Twisted Taper Decorative Candle will bring warmth and character to your home. This candle is available either unscented or in any of our popular soy candle scents.,//charlybodycare.com/cdn/shop/files/Decorative-Candle-Rainbow-2.jpg?crop=center&height=1200&v=1698457474&width=1200
